Name;Type;Class;Accuracy;Damage;Added effect
Gyro Ball;Steel;Physical;Dexterity + Brawl;Strength + 1;Add 1 extra die to the damage pool for every point of Dexterity has more than the user. Up to 5 dice may be added this way.
Hail;Ice;Support;Special + Nature;None;Hail Weather is activated for the next 4 rounds.
Hammer Arm;Fight;Physical;Dexterity + Brawl;Strength + 4;Accuracy -1. After dealing damage, reduce the user's Dexterity by 1.
Harden;Normal;Support;Vitality + Nature;None;Increase the user's Defense by 1.
Haze;Ice;Support;Special + Nature;None;Remove all increased or reduced Attributes and Traits from everyone.
Head Charge;Normal;Physical;Strength + Brawl;Strength + 5;Recoil.
Head Smash;Rock;Physical;Strength + Brawl;Strength + 6;Accuracy -2. Recoil.
Headbutt;Normal;Physical;Dexterity + Brawl;Strength + 3;Roll 3 chance dice to Flinch the foe. May encounter pokemon when hitting trees.
Heal Bell;Normal;Support;Special + Perform;None;Sound based. Cure the user and allies of Status Conditions. They don't need to be on the battlefield.
Heal Block;Psychic;Support;Special + Channel;None;No one can regain any lost HP. Lasts 4 rounds.
Heal Order;Bug;Support;Tough + Nature;None;Basic Heal.
Heal Pulse;Psychic;Support;Will + Channel;None;Basic Heal. Targets one ally.
Healing Wish;Psychic;Support;Will + Channel;None;The user faints. One ally is completely healed from all damage and Status Conditions.
Heart Stamp;Psychic;Physical;Insight + Allure;Strength + 2;Roll 3 chance dice to Flinch the foe.
Heart Swap;Psychic;Support;Insight + Allure;None;The user switches any Trait increase or reduction with the foe.
Heat Crash;Fire;Physical;Strength + Brawl;Strength + 2*;Add 1 extra die of damage for every 50 kg the weighs more than the foe. Up to 4 dice may be added this way.
Heat Wave;Fire;Special;Dexterity + Channel;Special + 3;Accuracy -1. Hits all foes. Roll 1 chance die to Burn(1) all foes.
Heavy Slam;Steel;Physical;Dexterity + Brawl;Strength + 1;Add 1 extra die to the damage pool for every 50 kg the user weighs more than the foe. Up to 4 dice may be added this way.
Helping Hand;Normal;Support;Dexterity + Perform;None;Priority 5. Target ally gets 2 extra dice on its next Skill, Accuracy and Damage rolls.
Hex;Ghost;Special;Dexterity + Channel;Special + 2;If the target is affected by a Status Condition, add 2 extra dice to the damage pool.
Hidden Power;Normal;Special;Varies;Varies;The Power and Type of this move is determined by the GM.
High Horsepower;Ground;Physical;Dexterity + Brawl;Strength + 3;None;
High Jump Kick;Fight;Physical;Dexterity + Brawl;Strength + 5;Accuracy -1. If the Accuracy roll is not successful, deal 5 dice of damage to the user.
Hone Claws;Dark;Support;Insight + Nature;None;Increase the user's Strength and Accuracy by 1.
Horn Attack;Normal;Physical;Dexterity + Brawl;Strength + 2;None.
Horn Drill;Normal;Physical;Dexterity + Brawl;Varies;Accuracy -5. Deal damage equal to the target's remaining HP plus 1 Lethal damage.
Horn Leech;Grass;Physical;Dexterity + Brawl;Strength + 3;The user restores HP equal to half the damage dealt, rounded down.
Howl;Normal;Support;Cool + Intimidate;None;Increase the user's Strength by 1.
Hurricane;Flying;Special;Special + Channel;Special + 5;Accuracy -2. Lethal.Roll 3 chance dice to Confuse the foe. If Rain Weather is active, ignore this move's reduced Accuracy.
Hydro Pump;Water;Special;Special + Channel;Special + 5;Accuracy -1.
Hyper Beam;Normal;Special;Special + Channel;Special + 6;Accuracy -1. Lethal. Must Recharge.
Hyper Fang;Normal;Physical;Dexterity + Brawl;Strength + 3;Roll 1 chance die to Flinch the foe.
Hyper Voice;Normal;Special;Dexterity + Channel;Special + 3;Sound based. Target all foes.
Hyperspace Hole;Psychic;Special;Insight + Channel;Special + 3;Never fails. Ignores defenses. Bypass the effect of any Shield Move.
Hyperspace Fury;Dark;Physical;Dexterity + Brawl;Strength + 4;Never fails. Ignores the effects of any Shield Move the foe might have used. Reduce the user's Defense by 1.
Hypnosis;Psychic;Support;Insight + Allure;None;Accuracy -4. Put the target to Sleep.Dark-type pokémon are affected by this move.
Ice Ball;Ice;Physical;Dexterity + Brawl;Strength + 1;Accuracy -1. Multiple Actions (5). Add 1 extra die to the damage roll for every previous use this round. If the user used Defense Curl this round, add 1 extra die the damage pool.
Ice Beam;Ice;Special;Dexterity + Channel;Special + 3;Roll 1 chance die to Freeze the foe.
Ice Burn;Ice;Special;Special + Channel; Special + 6;Accuracy -1. Lethal. Ranged. Charge Move. Roll 3 chance dice to Burn(1) the foe.
Ice Fang;Ice;Physical;Dexterity + Brawl;Strength + 2;Accuracy -1. Roll 2 chance dice to Flinch the foe. Roll 2 chance dice to Freeze the foe.
Ice Punch;Ice;Physical;Dexterity + Brawl;Strength + 3;Fist based. Roll 1 chance die to Freeze the foe.
Ice Shard;Ice;Physical;Dexterity + Brawl;Strength + 2;Ranged. Priority 1.
Icicle Crash;Ice;Physical;Dexterity + Brawl;Strength + 3;Accuracy -1. Roll 3 chance dice to Flinch the foe.
Icicle Spear;Ice;Physical;Dexterity + Brawl;Strength + 1;Ranged. Multiple Actions (5).
Icy Wind;Ice;Special;Dexterity + Channel;Special + 2;Target all foes. Reduce dexterity of all foes by 1.
Imprison;Psychic;Support;Clever + Channel;None;The foe cannot use any moves known by the user. Lasts for a day.
Incinerate;Fire;Special;Dexterity + Channel;Special + 2;Hits all foes. Destroy the held berries of all foes.
Inferno;Fire;Special;Dexterity + Channel;Special + 4;Accuracy -3. Lethal. Burn(3) the foe.
Infestation;Bug;Special;Dexterity + Channel;Special + 1;Blocks. Roll 2 dice of damage against the foe at the end of each round. Lasts 4 rounds.
Ingrain;Grass;Support;Special + Nature;None;If successful, spend 1 Will point to activate. The user heals 1 HP at the end of each round. Th user is now blocked.
Instruct;Psychic;Support;Clever + Perform;None;The target repeats their last move used this round, using the Accuracy roll of "Instruct" for that move. If the target has not successfully used a move on this round, this move fails.
Ion Deluge;Electric;Support;Insight + Nature;None;For the rest of the scene, Normal-type moves will deal damage as if they were Electric-type moves.
Iron Defense;Steel;Support;Vitality + Channel;None;Increase the user's Defense by 2.
Iron Head;Steel;Physical;Dexterity + Brawl;Strength + 3;Roll 3 chance dice to Flinch the foe.
Iron Tail;Steel;Physical;Dexterity + Brawl;Strength + 4;Accuracy -3. Roll 3 chance dice to reduce the foe's Defense by 1.
Judgment;Normal;Special;Insight + Intimidate;Special + 0*;Ignore defenses. This move is considered to be any type the user wants. If something would prevent this move from dealing damage, ignore it. This move cannot be clashed. This move's Power and added effects are decided by the GM.
Jump Kick;Fight;Physical;Dexterity + Brawl;Strength + 4;If Accuracy roll is unsuccesful, deal 4 dice of damage to the user.
Karate Chop;Fight;Physical;Dexterity + Brawl;Strength + 3;High Critical.
Kinesis;Psychic;Support;Special + Channel;None;Reduce the foe's Accuracy by 1.
King's Shield;Steel;Support;Dexterity + Brawl;None;Priority 3. Shield Move. If the foe would hit the user with a Physical move, reduce the foe's Strength by 2, then reduce the damage of that move by 3.
Knock Off;Dark;Physical;Dexterity + Brawl;Strength + 2;The foe loses its held item.
Land's Wrath;Ground;Physical;Strength + Channel;Strength + 3;Lethal. Ranged. Hits all foes.
Laser Focus;Normal;Support;Insight + Alert;None;The next time the user hits with an attack, it is a Critical Hit.
Last Resort;Normal;Physical;Dexterity + Brawl;Strength + 6;This move can be used only after the user has perfomred all its known moves at least once during the battle.
Lava Plume;Fire;Special;Dexterity + Channel;Special + 3;Area Attack. Roll 3 chance dice to Curn (1) the targets.
Leaf Blade;Grass;Physical;Dexterity + Brawl;Strength + 3;Lethal. High Critical.
Leaf Storm;Grass;Special;Special + Channel;Special + 6;Accuracy -1. Reduce the user's Special by 2.
Leaf Tornado;Grass;Special;Dexterity + Channel;Special + 2;Accuracy -1. Roll 5 chance dice to reduce the foe's Accuracy by 1.
Leafage;Grass;Physical;Dexterity + Channel;Strength + 2;Ranged.
Leech Life;Bug;Physical;Dexterity + Brawl;Strength + 3;The user restores HP equal to half the damage dealt, rounded down.
Leech Seed;Grass;Support;Special + Nature;None;Accuracy -1. If succesful, spend 1 Will to activate. At the end of each round, roll 1 dice of damage to the foe. User heals 1 HP for each damage dealt this way. Grass-type pokémon are immune to this move.
Leer;Normal;Support;Tough + Intimidate;None;Reduce all foes' Defense by 1.
Lick;Ghost;Physical;Dexterity + Brawl;Strength + 1;Roll 3 chance dice to Paralyze the foe.
Light of Ruin;Fairy;Special;Special + Channel;Special + 6;Accuracy -1. Lethal. Recoil.
Light Screen;Psychic;Support;Special + Channel;None;User and allies will receive 1 less damage from Special attacks. Lasts 4 rounds.
Lock-On;Normal;Support;Insight + Alert;None;The next attack the user performs has 2 automatic unremovable successes on its Accuracy roll.
Lovely Kiss;Normal;Support;5 - Beauty + Allure;None;Put the foe to Sleep.
Low Kick;Fight;Physical;Dexterity + Brawl;Strength + 1*;Add 1 extra damage die for every 50 kg of weight on the foe. Up to 4 dice may be added this way.
Low Sweep;Fight;Physical;Dexterity + Brawl;Strength + 2;Reduce the foe's Dexterity by 2.
Lucky Chant;Normal;Support;Special + Perform;None;User and allies can re-roll one unsuccesful die from all their rolls until the end of the scene. If an opponent would land a Critical Hit, it doesn't. Out of battle, good things happen.
Lunar Dance;Psychic;Support;Insight + Perform;None;The user faints. One fainted ally regains consciousness, has its HP fully restored, and all Status Conditions healed. If the ally was not in battle, it is switched out and ready to fight.
Lunge;Bug;Physical;Dexterity + Brawl;Strength + 3;Reduce the foe's Strength by 1.
Luster Purge;Psychic;Special;Special + Channel;Special + 2;Roll 5 chance dice to reduce the foe's Sp. Defense by 1. This effect stacks up to 3 times.
Mach Punch;Fight;Physical;Dexterity + Brawl;Strength + 2;Priority 1. Fist based.
Magic Coat;Psychic;Support;Special + Channel;Varies;Priority 4. Redirect the effects of a Support move that would affect the user or its side of the battlefield towards the foe's.
Magic Powder;Psychic;Support;Special + Channel;None;Change the target's type to Psychic-type.
Magic Room;Psychic;Support;Special + Channel;None;No one can use their Held Item or any other item. Lasts 4 rounds.
Magical Leaf;Grass;Special;Dexterity + Channel;Special + 2;Never fails.
Magma Storm;Fire;Special;Special + Channel;Special + 4;Accuracy -2. Blocks. Roll 3 damage dice against the foe at the end of each round. Lasts 4 rounds.
Magnet Bomb;Steel;Physical;Dexterity + Channel;Strength + 2;Ranged. Never fails.
Magnet Rise;Electric;Support;Insight + Nature;None;For the next 4 rounds, the user gains immunity against Ground-type moves.
Magnetic Flux;Electric;Support;Insight + Nature;None;Increase the Defense and Sp. Defense of the user and all Steel-type and Electric-type allies by 1.
Magnitude;Ground;Physical;Dexterity + Channel;Strength + 0*;Ranged. Roll 1 die to determine the move's power.
Mat Block;Fight;Support;Dexterity + Athletic;None;Shield Move. Reduce 3 damage from a damaging move the user and allies would take. This move only works the first round the user has been out.
Me First;Normal;Support;Dexterity + Brawl;Same as copied move + 1;Priority 1. The user copies and uses the move the foe was intending to use. It must be a damaging move.
Mean Look;Normal;Support;Tough + Intimidate;None;Blocks.
Meditate;Psychic;Support;Will + Channel;None;Increase the user's Strength by 1.
Mega Drain;Grass;Special;Dexterity + Channel;Special + 2;The user restores HP equal to half the damage dealt, rounded down.
Mega Kick;Normal;Physical;Dexterity + Brawl;Strength +5;Accuracy -2.
Megahorn;Bug;Physical;Strength + Brawl;Strength + 5;Accuracy -2. Lethal.
Memento;Dark;Support;Will + Channel;None;The user faints. Reduce the foe's Strength, Dexterity, Special, Defense and Sp. Defense. Lasts for a whole scene.
Metal Burst;Steel;Physical;Dexterity + Brawl;Varies;This move only works if the foe used an attack this round. Roll the same damage pool as your foe's last attack, and add 2 dice to the damage pool.
Metal Claw;Steel;Physical;Dexterity + Brawl;Strength + 2;Accuracy -1;Roll 1 chance die to increase the user's Strength by 1.
Metal Sound;Steel;Support;Tough + Perform;None;Sound based. Reduce the foe's Sp. Defense by 2.
Meteor Assault;Fight;Physical;Strength + Brawl;Strength + 6;Accuracy -1. Lethal. Must Recharge.
Metronome;Normal;Special;Dexterity + Perform;Special + 0*;Roll a die to determine this move's power. The appearance and type of this move is determined by the GM.
Milk Drink;Normal;Support;Vitality + Nature;None;Basic Heal. If successful, spend 1 Will point to activate.
Mimic;Normal;Support;Clever + Perform;None;Copies the last move the target used until the end of the scene. That move replces Mimic.
Mind Blown;Fire;Special;Insight + Channel;Special + 6;Area Attack. Recoil.
Mind Reader;Normal;Support;Insight + Channel;None;This pokemon gets 2 automatic successes on the next Accuracy roll or Evasion roll against the foe.
Minimize;Normal;Support;Special + Channel;None;The user can now make up to 5 Evasions per round.
Miracle Eye;Psychic;Support;Insight + Alert;None;The user may hit Dark-type pokemon with Psychic-type moves. The user ignores Evasion modifiers. Foes cannot reduce the user's Accuracy.
Mirror Coat;Psychic;Special;Dexterity + Channel;Varies;This move can only deal damage if the foe has dealt Special damage to the user this round. Roll the same damage pool as your foe plus 2 extra dice. Ignore the foe's Defenses.
Mirror Move;Flying;Support;Will + Channel;Same as copied move;Copies the last damaging move the foe has performed.
Mirror Shot;Steel;Special;Dexterity + Channel;Special + 2;Accuracy -2. Roll 3 chance dice to Confuse the foe.
Mist;Ice;Support;Special + Nature;None;For the next 4 rounds, the user and allies cannot have their Attributes or Traits reduced.
Mist Ball;Psychic;Special;Special + Channel;Special + 2;Roll 5 chance dice to reduce the foe's Special by 1. This effect can be repeated up to 3 times per target.
Misty Terrain;Fairy;Support;Insight + Nature;None;Everyone on the battlefield are not affected by Status Conditions. Dragon-type attacks won't add their Power to the damage pool. Lasts 4 rounds.
Moonblast;Fairy;Special;Special + Channel;Special + 3;Roll 3 chance dice to reduce the foe's Special by 1.
Moongeist Beam;Ghost;Special;Special + Channel;Special + 4;Lethal. If anything on the foe's side of the battlefield would prevent this move from dealing damage, ignore it. This move cannot be clashed.
Moonlight;Fairy;Support;Insight + Nature;None;Basic Heal.If succesful, spend on Will point to activate. If it's night or Sunny Weather, this move becomes a Complete Heal. If it's Rain or Sandstorm Weather, this move only heals 1 HP.
Morning Sun;Normal;Support;Vitality + Nature;None;Basic Heal. If Sunny Weather is active, this move becomes a Complete Heal. If Rain/Sandstorm Weather is active, or it is night or you are indoors/underground, this move only heals 1 HP.
Mud Bomb;Ground;Special;Dexterity + Channel;Special + 2;Accuracy -2. Roll 3 chance dice to reduce the foe's Accuracy by 1.
Mud Shot;Ground;Special;Dexterity + Channel;Special + 2;Reduce the foe's Dexterity by 1.
Mud Slap;Ground;Special;Dexterity + Channel;Special + 1;reduce the foe's Accuracy by 1.
Mud Sport;Ground;Support;Special + Nature;None;For the next 4 rounds, Electric type attacks won't add their power to the damage pool.
Muddy Water;Water;Special;Dexterity + Channel;Special + 3;Accuracy -2. Hits all foes. Roll 3 chance dice to reduce the Accuracy of all foes by 1.
Mystical Fire;Fire;Special;Dexterity + Channel;Special + 2;Reduce the foe's Special by 1.
Nasty Plot;Dark;Support;Clever + Alert;None;Increase the user's Special by 2.
Natural Gift;Normal;Physical;Dexterity + Channel;Strength + 3;Ranged. User loses its held berry. See P. 432 for more info.
Nature Power;Normal;Special;Special + Nature;Special + 3;The type of thos move is determined by the environment. See P. 432 for more info.
Needle Arm;Grass;Physical;Dexterity + Brawl;Strength + 2;Roll 3 chance dice to Flinch the foe.
Night Shade;Ghost;Special;Insight + Channel;Varies;Roll damage dice according to the user's rank: Starter: 1 die. Beginner: 2 dice. Amateur: 3 dice. Ace: 4 dice. Pro: 5 dice. Ignore foe's defenses.
Night Slash;Dark;Physical;Dexterity + Brawl;Strength + 3;Lethal. High Critical.
Nightmare;Ghost;Support;Will + Channel;None;Will only work if the target is asleep. Deal 1 damage to the foe. Deal 1 damage again at the beginning of each round if the target is still asleep.
No Retreat;Fight;Support;Insight + Nature;None;Increase the user's Strength, Dexterity, Special, Defense, and Sp. Defense by 1. The user is now Blocked.
Noble Roar;Normal;Support;Tough + Intimidate;None;Reduce the foe's Strength and Special by 1.
Nuzzle;Electric;Physical;Dexterity + Brawl;Strength + 1;Paralyze the foe.
Oblivion Wing;Flying;Special;Special + Channel;Special + 4;Lethal. High Critical.
Octolock;Fight;Support;Strength + Brawl;None;Block. Reduce the foe's Defense and Sp. Defense by 1.
Odor Sleuth;Normal;Support;Insight + Alert;None;The foe cannot evade moves performed by the user. User ignores Ghost-type immunity to Normal and vice versa. Out of battle, add successes of this move to any rolls for tracking targets.
Ominous Wind;Ghost;Special;Dexterity + Channel;Special + 2;Roll 1 chance die to increase the user's Strength, Dexterity, Special, Defense, and Sp. Defense.
Outrage;Dragon;Physical;Strength + Brawl;Strength + 5;Targets random foe. Rampage.
Overdrive;Electric;Special;Dexterity + Perform;Special + 3;Hits all foes. Sound based.
Overheat;Fire;Special;Special + Channel;Special + 6;Accuracy -1. Lethal. Reduce the user's Special by 2.
Pain Split;Normal;Support;Will + Channel;None;The user gives its Pain Penalizations to the foe. User ignores Pain Penalizations on itself. Foe cannot ignore them with Will, but can still ignore its own Pain Penalizations. HP on both remain the same.
Parabolic Charge;Electric;Special;Dexterity + Channel;Special + 2;Area Attack. The user restores HP equal to half the damage dealt to one target, rounded down.
Pay Day;Normal;Physical;Dexterity + Brawl;Strength + 2;Ranged. At the end of the battle, gain money equal to the user's rank: Starter/Beginner: $20, Amateur: $50, Ace: $75, Pro: $100.
Payback;Dark;Physical;Dexterity + Brawl;Strength + 2;Add 2 extra dice to the damage pool if the target already damaged you this round.
Peck;Flying;Physical;Dexterity + Brawl;Strength + 2;None
Perish Song;Normal;Support;Beauty + Perform;None;Sound based. After three rounds, all pokemon who heard the song and have not been switched out receives damage equal to its remaining HP.
Petal Blizzard;Grass;Physical;Dexterity + Brawl;Strength + 3;Area Attack.
Petal Dance;Grass;Special;Special + Channel;Special + 5;Rampage. Targets a random foe.
Phantom Force;Ghost;Physical;Strength + Brawl;Strength + 3;Charge Move;While charging this move, othe rmoves will not affect the user. If the target used a Shield Move, the shield is destroyed, and won't have any effect.
Photon Geyser;Psychic;Physical/Special;Dexterity + Channel;Strength/Special + 4;This move is Physical if you roll damage with Strength, and Special if you roll damage with Special.
Pika Papow;Electric;Special;Dexterity + Channel;Special + 0*;Add 1 die to the damage pool for every point of Happiness on the user. If te user is at its final stage of evolution, this move fails.
Pin Missile;Bug;Physical;Dexterity + Brawl;Strength + 1;Ranged. Multiple Actions (5).
Plasma Fists;Electric;Physical;Dexterity + Brawl;Strength + 4;Fist based. If successful, all Normal-type moves of the user will be considered Electric-type until the end of the scene.
Play Nice;Normal;Support;Cute + Allure;None;Reduce the foe's Strength by 1.
Play Rough;Fairy;Physical;Dexterity + Brawl;Strength + 3;Accuracy -1. Roll 1 chance die to reduce the foe's Strength by 1.
Pluck;Flying;Physical;Dexterity + Brawl;Strength + 2;If the target is holding a berry, the user eats it and gains its effects.
Poison Fang;Poison;Physical;Dexterity + Brawl;Strength + 2;Roll 5 chance dice to Badly Poison the foe.
Poison Gas;Poison;Support;Special + Channel;None;Accuracy -1. Poison all foes.
Poison Jab;Poison;Physical;Dexterity + Brawl;Strength + 3;Roll 3 chance dice to Poison the foe.
Poison Powder;Poison;Support;Special + Channel;None;Accuracy -2. Poison the foe.
Poison Sting;Poison;Physical;Dexterity + Channel;Strength + 1; Ranged. Roll 3 Chance Dice to Poison the target.
Poison Tail;Poison;Physical;Dexterity + Brawl;Strength + 2;High Critical. Roll 1 chance die to Poison the foe.
Pollen Puff;Bug;Special;Special + Channel;Special + 3;When this move is used against and ally, it will heal 1 HP instead of dealing damage.
Pound;Normal;Physical;Dexterity + Brawl;Strength + 2;None
Powder;Bug;Support;Insight + Nature;None;Add 3 dice to the damage pool of the next Fire-type move that hits the target.
Powder Snow;Ice;Special;Dexterity + Channel;Special + 2;Target all foes. roll 1 chance die to Freeze all foes.
Power Gem;Rock;Special;Dexterity + Channel;Special + 3;None.
Power Split;Psychic;Support;Special + Channel;None;Average the user's Strength and Special with the foe.
Power Swap;Psychic;Support;Special + Channel;None;Switch the user's Strength and Special with the foe.
Power Trick;Psychic;Support;Special + Channel;None;Switch the user's Strength with its Defense, and its Special with its Sp. Defense.
Power Whip;Grass;Physical;Dexterity + Brawl;Strength + 5;Accuracy -2.
Power-up Punch;Fight;Physical;Dexterity + Brawl;Strength + 2;Fist based. Increase the user's Strength by 1.
Present;Normal;Physical;Cute + Allure;None;Accuracy -1. Flip a coin. If heads, deal 2 set damage to the target. If tails, heal the target for 2 HP.
Prismatic Laser;Psychic;Special;Dexterity + Channel;Special + 6;Lethal. Must Recharge.
Protect;Normal;Support;Will + Channel;None;Priority 5. Shield Move. Reduce 3 damage the user would recieve from a damaging move. Negate the effect of Status moves that target the user. Reduce to 0 the set damage from a move the user would take.
Psybeam;Psychic;Special;Dexterity + Channel;Special + 2;Roll 1 chance die to Confuse the foe.
Psych Up;Normal;Support;Insight + Channel;None;Copy the target's Attribute and Trait Modifiers, and keep them until the end of the scene.
Psychic;Psychic;Special;Dexterity + Channel;Special + 3;Roll 1 chance die to reduce the foe's Sp. Defense by 1.
Psychic Fangs;Psychic;Physical;Dexterity + Brawl;Strength + 3;If a barrier is active on the foe's side of the battlefield, destroy it.
Psychic Terrain;Psychic;Support;Special + Channel;None;For the next 4 rounds, all Psychic-type attacks deal 1 extra dice of damage, and pokemon on the ground cannot use moves with positive Priority.
Psycho Boost;Psychic;Special;Dexterity + Channel;Special + 6*;Accuracy -1. Lethal. Reduce the user's Special by 2.
Psycho Cut;Psychic;Physical;Dexterity + Brawl;Strength + 3;High Critical.
Psycho Shift;Psychic;Support;Clever + Channel;None;Transfer the user's Status Conditions to the foe. The user is cured.
Psyshock;Psychic;Special;Dexterity + Channel;Special + 3;This move is resisted with the foe's Defense instead of Sp. Defense.
Psystrike;Psychic;Special;Dexterity + Channel;Special + 4;This move is resited with the foe's Defense instead of Sp. Defense.
Psywave;Psychic;Special;Insight + Channel;Varies;Roll damage dice according to the user's rank: Starter: 1 die, Beginner: 2 dice, Amateur: 3 dice, Ace: 4 dice, Pro: 5 dice. Ignores Defense.
Punishment;Dark;Physical;Dexterity + Brawl;Strength + 1;Add up to 7 dice to the damage pool for every increased Attribute the foe has.
Purify;Poison;Support;Special + Nature;None;Heal a target's Status Condition. If you do, the user may heal 1 HP.
Pursuit;Dark;Physical;Dexterity + Brawl;Strength + 2*; If the foe is switching out or ascaping, add 2 dice to the damage pool, and add Priority 1 to this move.
Pyro Ball;Fire;Special;Strength + Channel;Strength + 5;Accuracy -1. Roll 1 chance die to Burn(2) the foe.
Quash;Dark;Support;Tough + Intimidate;None;For the rest of the scene, the target will go last in the initiative order.
Quick Attack;Normal;Physical;Dexterity + Brawl;Strength + 2;Priority 1.
Quick Guard;Fight;Support;Dexterity + Athletic;None;Priority 3. Shield Move. Reduce 3 damage from a damaging move the user and allies would take. Negate the effects of Support moves that target the user and allies. This move only works against moves with positive Priority.
Quiver Dance;Bug;Support;Beauty + Perform;None;Increase the user's Dexterity, Special, and Sp. Defense by 1.
Rage;Normal;Physical;Dexterity + Brawl;Strength + 1;If the user receives damage after using this move, increase the user's Strength by 1. This effect stacks up to 3 times.
Rage Powder;Bug;Support;Insight + Intimidate;None;Priority 2. During this round, all damaging moves from any foe must target the user.
Rain Dance;Water;Support;Special + Nature;None;Rain Weather is activated for the next 4 rounds.
Rapid Spin;Normal;Physical;Dexterity + Brawl;Strength + 2;Remove Entry Hazards and Leech Seed from the user's side of the field. Increase user's Dexterity by 1.
Razor Leaf;Grass;Physical;Dexterity + Channel;Strength + 2;Ranged. High Critical. Hits all foes.
Razor Shell;Water;Physical;Dexterity + Brawl;Strength + 3;Roll 1 chance dice to reduce the foe's Defense by 1.
Razor Wind;Normal;Special;Dexterity + Channel;Special + 3;High Critical. Charge. Hits all foes.
Recover;Normal;Support;Special + Nature;None;Basic Heal. If succesful, spend 1 Will point to activate.
Recycle;Normal;Support;Vitality + Nature;None;The pokemon reuses an item that has already been spent. An item may not be recycled more than 5 times.
Reflect;Psychic;Support;Special + Channel;None;User and allis will receive 1 less damage from physical attacks. Lasts 4 rounds.
Reflect Type;Normal;Support;Special + Channel;None;The pokemon is now that same type as one of its foes. Lasts for a scene or until this move is used again.
Refresh;Normal;Support;Will + Channel;None;The user cures itself from Poison, Burn, or Paralysis.
Relic Song;Normal;Special;Special + Perform;Special + 2;Sound based. Hits all foes. Roll 1 chance die to put all foes to Sleep. If successful, the user may change form afterwards.
Rest;Psychic;Support;Vitality + Nature;None;Complete Heal. If succesful, spend 1 Will point to activate. The user must spend a whole round asleep.
Retaliate;Normal;Physical;Dexterity + Brawl;Strength + 3*;If an ally fainted in this or the previous round, add 3 extra dice to the damage pool. This effect can only be used once per ally.
Return;Normal;Physical;Dexterity + Brawl;Strength + 0*;Add 1 die to the damage pool for every point of Happiness on the user.
Revelation Dance;Normal;Special;Dexterity + Perform;Special + 3;This move's type changes to match the user's Primary type.
Revenge;Fight;Physical;Dexterity + Brawl;Strength + 2*;If the user has already received damage this round, add 2 extra dice to the damage pool.
Reversal;Fight;Physical;Dexterity + Brawl;Strength + 1*;Add 1 extra die to the damage pool for every missing HP the user has. Up to 5 dice may be added this way.
Roar;Normal;Support;Tough + Intimidate;None;Priority -6. In the world, the battle ends. In official fight, the foe switches out. If it's the last or only pokémon on its team, the move fails. Switcher move.
Rock Blast;Rock;Physical;Dexterity + Brawl;Strength + 1;Accuracy -1. Ranged. Multiple Actions (5).
Rock Climb;Normal;Physical;Dexterity + Brawl;Strength + 3;Accuracy -2. Roll 2 chance dice to Confuse the foe. Outside of battle, it allows the user to climb with ease.
Rock Polish;Rock;Support;Dexterity + Channel;None;Increase the user's Dexterity by 1.
Rock Slide;Rock;Physical;Dexterity + Brawl;Strength + 3;Accuracy -1. Hits all foes. Ranged. Roll 3 chance dice to Flinch the foes.
Rock Smash;Fight;Physical;Dexterity + Brawl;Strength + 2;Roll 5 chance dice to reduce the foe's Defense by 1.
Rock Throw;Rock;Physical;Dexterity + Channel;Strength + 2;Accuracy -1. Ranged.
Rock Tomb;Rock;Physical;Dexterity + Channel;Strength + 2;Accuracy -1. Ranged. Reduce the foe's Dexterity by 1.
Rock Wrecker;Rock;Physical;Strength + Channel;Strength + 6;Accuracy -1. Ranged. Must Recharge. Lethal.
Role Play;Psychic;Support;Clever + Perform;None;Copy the foe's Ability. Some Abilities cannot be copied.
Rolling Kick;Fight;Physical;Dexterity + Brawl;Strength + 2;Accuracy -2. Roll 3 chance dice to Flinch the foe.
Rollout;Rock;Physical;Dexterity + Brawl;Strength + 1;Accuracy -1. Multiple Actions (5). Add 1 extra die to the damage roll for every previous use this round. If the user used Defense Curl this round, add 1 extra die the damage pool.
Roost;Flying;Support;Insight + Nature;None;Basic Heal. Until the user's next action, it will be vulnerable to Ground-type moves.
Rototiller;Ground;Support;Special + Nature;None;Increase the Strength and Special of all Grass-type pokemon on the battlefield by 1.
Round;Normal;Special;Special + Perform;Special + 2*;If the user and an ally are able to use Round, they may choose to use it at thge same time. If they do, add 3 extra dice to the damage pool of both pokemon.
Sacred Fire;Fire;Physical;Dexterity + Channel;Strength + 4;Lethal. Roll 5 chance dice to Burn(3) the foe.
Sacred Sword;Fight;Physical;Dexterity + Brawl;Strength + 3;Ignore any increases to the foe's Defense.
Safeguard;Normal;Support;Special + Channel;None;For the next 4 rounds, the user and allies are immune to Status Conditions. Conditions previously inflicted remain.
Sand Attack;Ground;Support;Dexterity + Channel;None;The foe gets 1 succes removed from all accuracy rolls.
Sand Tomb;Ground;Physical;Dexterity + Channel;Strength + 2;Accuracy -2. Ranged. Blocks. At the end of the round, roll 2 dice of damage against the foe. Lasts 4 rounds.
Sandstorm;Rock;Support;Special + Nature;None;Sandstorm Weather is activated for the next 4 rounds.
Sappy Seed;Grass;Physical;Special + Brawl;Strength + 3;Accuracy -1. At the end of the round, roll 1 die of damage against the foe. Restore HP to the user for every damage dealt this way. If the user is at its final stage of evolution, this move fails.
Scald;Water;Special;Dexterity + Channel;Strength + 3;Roll 1 chance die to reduce the foe's Defense by 1.
